GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Drinks,at.fhj.msd,Calculator,0,90,0,6,0,25,0,10,0,7
Drinks,at.fhj.msd,Main,44,0,0,0,11,0,3,0,3,0
